sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 11, 2024 23:29:17

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
        +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_4443cdd14915431b8db74095d4c71f59(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_addr_sync:efx_fifo_datasync_4443cdd14915431b8db74095d4c71f59(STAGE=2,WIDTH=9)	       0(0)	       9(9)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +rd_counter_fifo:efx_fifo_top_4443cdd14915431b8db74095d4c71f59(FAMILY="TITANIUM",DEPTH=16,DATA_WIDTH=5,PROGRAMMABLE_FULL="NONE",PROGRAMMABLE_EMPTY="NONE")	      35(4)	      10(0)	       7(0)	      30(0)	     0(0)	     1(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_4443cdd14915431b8db74095d4c71f59(FAMILY="TITANIUM",WR_DEPTH=16,RD_DEPTH=16,WDATA_WIDTH=5,RDATA_WIDTH=5,WADDR_WIDTH=4,RADDR_WIDTH=4,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_4443cdd14915431b8db74095d4c71f59(FAMILY="TITANIUM",SYNC_CLK=0,WR_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,PROG_FULL_ASSERT=27,PROG_FULL_NEGATE=23,PROG_EMPTY_ASSERT=5,PROG_EMPTY_NEGATE=7)	     31(31)	      10(0)	       7(7)	     30(16)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_4443cdd14915431b8db74095d4c71f59	       0(0)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_4443cdd14915431b8db74095d4c71f59(STAGE=2,WIDTH=5)	       0(0)	       5(5)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_4443cdd14915431b8db74095d4c71f59	       0(0)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_addr_sync:efx_fifo_datasync_4443cdd14915431b8db74095d4c71f59(STAGE=2,WIDTH=5)	       0(0)	       5(5)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +wr2rd_bin2gray:efx_fifo_bin2gray_4443cdd14915431b8db74095d4c71f59	       0(0)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +wr2rd_addr_sync:efx_asyncreg_4443cdd14915431b8db74095d4c71f59(WIDTH=5)	     10(10)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
      +rd_data_fifo:efx_fifo_top_4443cdd14915431b8db74095d4c71f59(FAMILY="TITANIUM",DEPTH=1024,DATA_WIDTH=41,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=512,PROGRAMMABLE_EMPTY="NONE",ASYM_WIDTH_RATIO=6)	      66(4)	      18(0)	      39(0)	     172(0)	     0(0)	     9(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_4443cdd14915431b8db74095d4c71f59(FAMILY="TITANIUM",WR_DEPTH=1024,RD_DEPTH=256,WDATA_WIDTH=41,RDATA_WIDTH=164,WADDR_WIDTH=10,RADDR_WIDTH=8,OUTPUT_REG=0)	       5(5)	       0(0)	       0(0)	       1(1)	     0(0)	     9(9)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_4443cdd14915431b8db74095d4c71f59_renamed_due_excessive_length_4	     57(57)	      18(0)	     39(39)	   171(139)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_4443cdd14915431b8db74095d4c71f59(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_4443cdd14915431b8db74095d4c71f59(STAGE=2,WIDTH=9)	       0(0)	       9(9)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_4443cdd14915431b8db74095d4c71f59(WIDTH=11)	       0(0)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_addr_sync:efx_fifo_datasync_4443cdd14915431b8db74095d4c71f59(STAGE=2,WIDTH=11)	       0(0)	       9(9)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=11)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=10)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=9)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=8)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=7)	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=6)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=4)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +xhbram_user_if:hbram_user_if_4443cdd14915431b8db74095d4c71f59(AXI_DBW=128,DUAL_RAM=0,RAM_2DBW=32,RAM_DMW=4)	     60(60)	       0(0)	     11(11)	     58(58)	     0(0)	     0(0)	     0(0)	
    +genblk3.hbram_cal_top_inst:hbram_cal_controller_top_4443cdd14915431b8db74095d4c71f59_renamed_due_excessive_length_5	     467(1)	      10(0)	     101(0)	     671(2)	     0(0)	     2(0)	     0(0)	
     +hbram_cal_ctrl_inst:hbram_cal_ctrl_4443cdd14915431b8db74095d4c71f59_renamed_due_excessive_length_6	   236(201)	      10(0)	     73(66)	   249(218)	     0(0)	     2(0)	     0(0)	
      +genblk7.genblk1.rd_data_fifo:efx_fifo_top_4443cdd14915431b8db74095d4c71f59(DEPTH=16,PROGRAMMABLE_FULL="NONE",PROGRAMMABLE_EMPTY="NONE")	      35(4)	      10(0)	       7(0)	      31(0)	     0(0)	     2(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_4443cdd14915431b8db74095d4c71f59(WR_DEPTH=16,RD_DEPTH=16,WDATA_WIDTH=32,RDATA_WIDTH=32,WADDR_WIDTH=4,RADDR_WIDTH=4,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(2)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_4443cdd14915431b8db74095d4c71f59(SYNC_CLK=0,WR_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,PROG_FULL_ASSERT=27,PROG_FULL_NEGATE=23,PROG_EMPTY_ASSERT=5,PROG_EMPTY_NEGATE=7)	     31(31)	      10(0)	       7(7)	     31(17)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_4443cdd14915431b8db74095d4c71f59	       0(0)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
