sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 11, 2024 23:29:17

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
 +u_lcd_driver:lcd_driver                                   	     30(30)	       0(0)	     24(24)	     59(59)	     0(0)	     0(0)	     0(0)	
 +u_rgb2dvi:rgb2dvi(ENABLE_OSERDES=0)                       	    3357(0)	       0(0)	    4441(0)	  10177(39)	     0(0)	     0(0)	    65(0)	
  +enc_0:tmds_channel                                       	     15(15)	       0(0)	     27(27)	     26(26)	     0(0)	     0(0)	     0(0)	
  +enc_1:tmds_channel                                       	     15(15)	       0(0)	     27(27)	     26(26)	     0(0)	     0(0)	     0(0)	
  +enc_2:tmds_channel                                       	     15(15)	       0(0)	     27(27)	     24(24)	     0(0)	     0(0)	     0(0)	
  +Rectangular_inst:Rectangular                             	   107(107)	       0(0)	 2173(2173)	 2965(2965)	     0(0)	     0(0)	   65(65)	
  +Target_Detect_inst:Target_Detect(MIN=0,IMG_HDISP=1280,IMG_VDISP=720)	 1050(1050)	       0(0)	   527(527)	 3094(3094)	     0(0)	     0(0)	     0(0)	
  +Target_Jg_inst0:Target_jg                                	   224(224)	       0(0)	   171(171)	   430(430)	     0(0)	     0(0)	     0(0)	
  +Target_Jg_inst1:Target_jg                                	   224(224)	       0(0)	   171(171)	   423(423)	     0(0)	     0(0)	     0(0)	
  +Target_Jg_inst2:Target_jg                                	   224(224)	       0(0)	   171(171)	   424(424)	     0(0)	     0(0)	     0(0)	
  +Target_Jg_inst3:Target_jg                                	   224(224)	       0(0)	   171(171)	   425(425)	     0(0)	     0(0)	     0(0)	
  +Target_Jg_inst4:Target_jg                                	   224(224)	       0(0)	   171(171)	   446(446)	     0(0)	     0(0)	     0(0)	
  +Target_Jg_inst5:Target_jg                                	   224(224)	       0(0)	   171(171)	   422(422)	     0(0)	     0(0)	     0(0)	
  +Target_Jg_inst6:Target_jg                                	   224(224)	       0(0)	   171(171)	   414(414)	     0(0)	     0(0)	     0(0)	
  +Target_Jg_inst7:Target_jg                                	   224(224)	       0(0)	   171(171)	   424(424)	     0(0)	     0(0)	     0(0)	
  +Target_Jg_inst8:Target_jg                                	   224(224)	       0(0)	   171(171)	   424(424)	     0(0)	     0(0)	     0(0)	
  +Target_Jg_inst9:Target_jg                                	   139(139)	       0(0)	   121(121)	   167(167)	     0(0)	     0(0)	     0(0)	
  +Target_Blue_inst9:Target_Blue                            	       0(0)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
 +usrt_inst:uart                                            	   395(317)	       0(0)	     64(25)	  1057(938)	     0(0)	     0(0)	     0(0)	
  +instruct_inst:instruct                                   	     34(34)	       0(0)	     24(24)	     85(85)	     0(0)	     0(0)	     0(0)	
  +uart_rx_inst:uart_rx                                     	     44(44)	       0(0)	     15(15)	     34(34)	     0(0)	     0(0)	     0(0)	
